rank,player_id,player_name,position,team_recent,n_seasons,toi_total,NFI_pct,NFI_pct_ZA,NFI_pct_3A,CF_pct,CF_pct_ZA,RelNFI_pct,RelNFI_F_pct,RelNFI_A_pct,NFQOC,NFQOL,oz_ratio,NFI_pct_3A_MOM_3yr,rank_NFI_ZA,rank_CF_ZA,rank_change,rank_RelNFI,rank_RelCF,rank_change_rel,RelCF_pct,RelFF_pct
1,8479542,Brandon Hagel,F,TBL,4,5576.55,0.581404,0.575256,0.570883,0.508729,0.50258,3.875444,1.473509,2.401934,0.502655,0.499761,0.517567,0.014504,13,271,258,1.0,113.0,112.0,2.2496246591862903,5.491528380498857
2,8479318,Auston Matthews,F,TOR,4,5172.15,0.575091,0.542083,0.538981,0.531113,0.498105,3.799638,2.008853,1.790785,0.503011,0.497986,0.594307,-0.01457,92,314,222,2.0,1.0,-1.0,6.557904297995759,7.620306961829619
3,8475218,Mattias Ekholm,D,EDM,4,5807.633333,0.578568,0.551557,0.526151,0.526802,0.499791,3.754624,2.559711,1.194914,0.501273,0.536944,0.577174,0.012331,55,294,239,3.0,12.0,9.0,5.140487978997988,9.82761422765293
4,8480801,Brady Tkachuk,F,OTT,4,5159.633333,0.567662,0.54276,0.548211,0.535195,0.510292,3.71765,2.664775,1.052875,0.502441,0.487281,0.57115,0.004149,88,192,104,4.0,3.0,-1.0,6.38004846699955,9.560204209633174
5,8478402,Connor McDavid,F,EDM,4,6023.6,0.600933,0.560871,0.541516,0.525977,0.485914,3.679918,1.689253,1.990665,0.500628,0.526179,0.614465,0.00225,29,413,384,5.0,55.0,50.0,3.2929839672699766,6.59087789744474
6,8475848,Brendan Gallagher,F,MTL,4,3247.683333,0.529104,0.543593,0.574951,0.501649,0.516137,3.62264,3.624311,-0.00167,0.50114,0.447445,0.458604,0.005395,82,153,71,6.0,121.0,115.0,2.1178135221714838,4.264685127321765
7,8475314,Anders Lee,F,NYI,4,4824.966667,0.542352,0.524117,0.536231,0.512825,0.494589,3.567788,3.348305,0.219483,0.502199,0.476967,0.552102,-0.016564,174,349,175,7.0,51.0,44.0,3.35283489728366,5.979682641454767
8,8483457,Lane Hutson,D,MTL,2,3035.85,0.537033,0.487408,0.508326,0.516663,0.467037,3.492185,1.982481,1.509703,0.503899,0.460382,0.641788,,384,531,147,8.0,7.0,-1.0,5.61496884271243,9.178041638593292
9,8479314,Matthew Tkachuk,F,FLA,4,4482.283333,0.578148,0.548746,0.534632,0.520336,0.490934,3.468215,2.630144,0.838071,0.499971,0.516156,0.584006,-0.02049,64,371,307,9.0,34.0,25.0,4.0533744379690315,7.5574963811577645
10,8479323,Adam Fox,D,NYR,4,6109.183333,0.540215,0.510334,0.526471,0.516219,0.486338,3.415687,0.75399,2.661697,0.501831,0.468768,0.585374,0.017436,244,408,164,10.0,33.0,23.0,4.061721944670357,8.28290879922795
11,8476873,Mark Jankowski,F,CAR,4,2216.45,0.57023,0.577698,0.573909,0.52601,0.533478,3.297559,2.145039,1.15252,0.497564,0.504208,0.478663,0.022944,12,60,48,11.0,14.0,3.0,4.926012795399651,4.04160188672096
12,8475786,Zach Hyman,F,EDM,4,5252.3,0.596405,0.564148,0.538511,0.522587,0.49033,3.173716,2.37783,0.795886,0.49918,0.536262,0.592162,-0.003277,25,377,352,12.0,90.0,78.0,2.5623446963935463,4.68168750599108
13,8482762,Simon Edvinsson,D,DET,3,2941.533333,0.513366,0.529216,0.551796,0.503986,0.519837,3.064037,2.191895,0.872142,0.503579,0.456294,0.454711,,146,130,-16,13.0,68.0,55.0,3.004152749496972,4.092695934419509
14,8480803,Evan Bouchard,D,EDM,4,6454.266667,0.589654,0.556495,0.521205,0.528901,0.495743,2.950142,1.386978,1.563164,0.499761,0.553209,0.594737,-0.002051,39,335,296,14.0,31.0,17.0,4.076553767182207,8.90274664809137
15,8475791,Taylor Hall,F,CAR,3,2813.7,0.542488,0.523443,0.515385,0.510177,0.491132,2.918981,2.363955,0.555025,0.499866,0.506725,0.554414,,180,368,188,15.0,139.0,124.0,1.8579278649918913,4.736070829880885
16,8475690,Chris Tanev,D,TOR,3,4194.033333,0.560275,0.585609,0.571025,0.526663,0.551997,2.856266,1.477371,1.378894,0.503245,0.516136,0.427617,,9,24,15,16.0,48.0,32.0,3.5325766744664646,2.65040109293068
17,8477492,Nathan MacKinnon,F,COL,4,6361.15,0.563215,0.511972,0.504279,0.515949,0.464706,2.74549,2.296681,0.448809,0.500565,0.505052,0.646408,0.024386,232,537,305,17.0,61.0,44.0,3.1528180299133615,6.829608364486805
